SiteKey,Year,MonthNum,kWp,lat,Lon,air_temperature_mean_c,apparent_temperature_mean_c,dew_point_mean_c,relative_humidity_mean_pct,month_sin,month_cos,actual_monthly_generation_kwh
38,2020,10,-4386.0356,0.0,0.0,311.82898,2.4339333,124.4659,-184.56798,63.327953,1307.4252,5709.9189453125
39,2020,10,-6518.863,0.0,0.0,242.85545,5.571181,120.76165,-161.20384,33.68814,1188.1708,3246.53125
40,2020,10,-2420.5347,0.0,0.0,277.0488,-1.4075887,128.15321,-221.75172,91.147835,1530.8259,7771.228515625
14,2020,11,-3174.4622,0.0,0.0,537.83545,-26.742775,186.65012,360.28647,-24.563616,1879.2549,8272.033203125
15,2020,11,-396.50793,0.0,0.0,573.0084,-3.8921275,182.85234,356.29953,-42.81722,2280.5513,11484.9453125
17,2020,11,-5547.1333,0.0,0.0,404.10712,-45.000885,167.10307,243.0028,-31.65,1653.7598,5321.1328125
18,2020,11,7777.161,0.0,0.0,825.69293,0.35842416,232.81224,420.51416,-24.314001,2896.9531,20509.46875
19,2020,11,10916.13,0.0,0.0,906.17004,-62.60755,166.23932,738.2189,39.136124,3603.8647,24716.8515625
20,2020,11,-2082.9385,0.0,0.0,480.1482,-49.227104,171.71642,317.0089,-23.48023,1974.6316,9177.609375
21,2020,11,-6246.258,0.0,0.0,376.64798,-45.394325,173.16138,233.93231,-35.338085,1571.0352,4414.9111328125
22,2020,11,-2888.3738,0.0,0.0,517.00165,-45.27806,183.02007,348.90576,-26.449965,1926.3876,8411.517578125
23,2020,11,-4360.0225,0.0,0.0,473.10342,-27.94797,187.61961,300.92038,-15.14309,1738.6351,6935.3310546875
24,2020,11,-1240.8892,0.0,0.0,463.09436,-44.95259,176.8801,331.9697,-22.926035,1907.9603,10205.4140625
25,2020,11,30813.11,0.0,0.0,1483.3966,-202.03067,598.9608,1028.6198,90.05011,5848.9746,48478.265625
26,2020,11,-6234.727,0.0,0.0,373.06378,-45.993706,172.10399,230.27171,-35.584183,1571.9857,4490.95703125
27,2020,11,34786.81,0.0,0.0,841.3098,-224.89212,1127.1244,809.8388,-79.29861,9589.446,55111.8125
30,2020,11,-6150.874,0.0,0.0,390.18466,-43.18396,168.83678,240.023,-38.092518,1620.4069,4492.099609375
31,2020,11,-2336.197,0.0,0.0,479.02563,-48.734283,165.67172,312.326,-25.229475,1962.5859,8774.943359375
32,2020,11,-6767.8755,0.0,0.0,349.6393,-45.30404,165.56398,228.48544,-34.623535,1516.654,3828.869140625
33,2020,11,-1237.5522,0.0,0.0,509.629,-5.8755755,168.23824,318.78976,-21.528395,2052.9763,9991.75
34,2020,11,-8110.768,0.0,0.0,198.44102,-39.300217,142.54816,200.90872,6.7123833,1454.7043,2195.20703125
35,2020,11,-7337.7593,0.0,0.0,254.06729,-39.853165,146.97272,283.49484,35.996082,1581.1979,3420.658203125
36,2020,11,-5200.0513,0.0,0.0,428.07803,-46.58206,169.7451,248.2355,-33.224346,1684.6992,5676.978515625
37,2020,11,-5157.4204,0.0,0.0,428.43945,-46.75305,173.10896,245.50082,-29.004559,1697.6516,5776.9140625
38,2020,11,-4583.8037,0.0,0.0,447.85995,-44.06694,172.39977,267.60098,-27.521784,1724.0281,6286.3125
39,2020,11,-6749.9653,0.0,0.0,395.6875,-43.32618,164.95071,237.436,-36.532555,1596.5685,3876.55615234375
40,2020,11,-2429.3098,0.0,0.0,494.85144,-46.30825,174.79324,328.36984,-24.982723,2025.2806,8993.0625
14,2020,12,-3244.5625,0.0,0.0,604.5432,22.199995,205.9405,491.142,35.92372,1893.5469,8568.34765625
15,2020,12,-405.5384,0.0,0.0,657.7293,51.619553,206.18825,484.392,63.944424,2328.5347,11838.3515625
16,2020,12,-8773.952,0.0,0.0,299.46463,-19.494654,192.26707,269.68115,5.877878,1432.8335,1418.43505859375
17,2020,12,-5612.911,0.0,0.0,476.12256,4.343256,188.19275,369.08798,32.61538,1667.0841,5664.45703125
18,2020,12,7838.805,0.0,0.0,926.81274,124.21261,284.62552,549.557,84.94357,2926.6438,21365.34375
19,2020,12,10950.134,0.0,0.0,970.9013,-16.850086,193.5158,949.87384,121.91427,3635.3613,25567.6171875
20,2020,12,-2123.45,0.0,0.0,572.08453,3.72642,192.67073,448.66187,40.347977,1993.246,9730.03125
21,2020,12,-6326.8,0.0,0.0,452.73074,4.494777,193.93652,347.01187,26.695116,1581.8828,4616.44140625
22,2020,12,-2972.9946,0.0,0.0,589.67993,3.6646938,202.4278,462.12408,34.03738,1940.6794,8576.77734375
23,2020,12,-4432.414,0.0,0.0,540.57166,20.994787,207.30081,425.39014,45.344254,1755.7167,7201.17578125
24,2020,12,-1262.0402,0.0,0.0,533.04675,4.3915424,197.65526,513.28687,35.359985,1913.8038,10743.203125
25,2020,12,31261.318,0.0,0.0,1813.5106,180.53558,716.14496,1176.9713,146.54851,5813.75,49386.921875
26,2020,12,-6340.503,0.0,0.0,449.14664,2.7974608,192.87912,318.43936,26.260975,1582.8333,4648.501953125
27,2020,12,35687.5,0.0,0.0,1296.9858,362.69034,1324.4496,1009.3292,81.23988,9598.919,57987.25
30,2020,12,-6216.6553,0.0,0.0,467.10178,6.1601725,189.77641,362.89224,24.223938,1633.7312,4725.3349609375
31,2020,12,-2388.3018,0.0,0.0,559.9117,0.2084669,185.9608,447.32428,38.59874,1978.4308,9146.4296875
32,2020,12,-6867.0938,0.0,0.0,422.32495,0.71093357,190.20212,321.234,31.380339,1526.4913,3969.400390625
33,2020,12,-1294.8077,0.0,0.0,591.03485,41.517914,189.01021,445.8486,47.150894,2068.202,10341.33984375
34,2020,12,-8215.496,0.0,0.0,259.51462,-24.795305,180.05367,328.10767,67.546005,1467.9962,2429.69140625
35,2020,12,-7436.9766,0.0,0.0,298.9868,-25.953857,181.3295,437.45554,84.72578,1594.4089,3803.685546875
36,2020,12,-5309.38,0.0,0.0,502.47742,2.042124,190.8302,335.3411,27.467257,1695.7976,5774.50390625
37,2020,12,-5238.5557,0.0,0.0,502.83884,1.8711292,193.26077,360.6836,28.894018,1711.6595,6049.767578125
38,2020,12,-4674.6064,0.0,0.0,522.33044,4.5572367,192.40114,370.98627,32.50688,1739.3275,6527.435546875
39,2020,12,-6858.5107,0.0,0.0,467.09634,5.2979975,185.9718,322.4439,25.783901,1609.8928,4033.9150390625
40,2020,12,-2472.624,0.0,0.0,579.70795,3.1935365,195.56525,468.77515,38.845486,2048.257,9375.15625
14,2021,1,-3098.074,0.0,0.0,594.44885,-14.584186,180.77983,354.33075,32.878654,1848.0669,8303.37890625
15,2021,1,-156.36896,0.0,0.0,672.73535,6.3241477,234.70413,385.75507,62.989307,2287.7217,11929.5546875
16,2021,1,-8525.922,0.0,0.0,297.54678,-18.614382,214.65854,156.23958,22.61084,1382.8792,1827.103515625
17,2021,1,-5490.2954,0.0,0.0,382.5647,-22.677145,188.26405,253.22304,31.728474,1621.0675,5571.419921875
18,2021,1,8112.3545,0.0,0.0,933.74695,23.49361,340.7289,523.6673,50.710983,2921.7053,21547.3046875
19,2021,1,11283.042,0.0,0.0,1135.4054,-26.207695,280.5375,752.5465,72.80889,3594.9941,25922.65625
20,2021,1,-1937.1621,0.0,0.0,529.14636,-35.360077,202.66257,366.09042,37.57163,1949.0806,9718.609375
21,2021,1,-6130.4814,0.0,0.0,452.2729,-41.07496,183.14183,246.10896,27.430258,1538.3269,4663.861328125
22,2021,1,-2797.2156,0.0,0.0,578.51355,-30.025234,181.93268,352.12015,30.798452,1895.1996,8743.34375
23,2021,1,-4309.06,0.0,0.0,518.8346,-15.789386,178.18939,290.92908,30.481289,1705.9858,6892.876953125
24,2021,1,-1044.8488,0.0,0.0,555.80597,-13.43417,237.13124,331.27954,35.503807,1873.6554,10672.0
25,2021,1,31081.666,0.0,0.0,1434.6677,-147.60739,441.98285,1203.953,365.36017,5729.768,48706.3125
26,2021,1,-6126.1694,0.0,0.0,442.40405,-42.139145,184.26399,241.46098,27.758387,1539.2648,4664.345703125
27,2021,1,32598.002,0.0,0.0,247.75024,-641.93115,159.04384,734.23834,-83.30683,8692.013,50114.0
30,2021,1,-6098.4204,0.0,0.0,390.72632,-25.394575,153.18185,249.98337,40.59342,1587.7147,4486.33984375
31,2021,1,-2231.5703,0.0,0.0,535.4313,-33.48146,171.47182,335.69724,35.323833,1933.821,9007.21875
32,2021,1,-6653.6167,0.0,0.0,419.44836,-37.867676,180.80894,235.81644,33.4218,1482.389,4000.025390625
33,2021,1,-1057.799,0.0,0.0,587.5539,4.2712965,197.32188,368.01547,48.123623,2041.1368,10501.7578125
34,2021,1,-8056.944,0.0,0.0,223.27664,-18.30205,177.78484,168.95326,60.723503,1416.5234,2295.91796875
35,2021,1,-7266.129,0.0,0.0,348.97318,-11.109724,181.73866,200.74982,73.20939,1542.8181,3570.47265625
36,2021,1,-5093.4165,0.0,0.0,507.53885,-38.672318,162.18555,259.84415,30.230318,1652.2164,5945.8046875
37,2021,1,-5062.7734,0.0,0.0,504.46634,-38.843315,160.35338,256.92215,27.943512,1663.9274,5906.4296875
38,2021,1,-4511.6387,0.0,0.0,499.1427,-36.157204,161.73555,276.99777,30.415865,1691.3536,6489.1875
39,2021,1,-6713.3604,0.0,0.0,400.4603,-47.148735,148.94911,245.14745,43.356117,1566.155,3858.349609375
40,2021,1,-2284.6926,0.0,0.0,564.2711,-27.780008,205.32584,345.3956,36.069138,1993.6365,9199.7265625
14,2021,2,-3118.6074,0.0,0.0,486.21222,-34.775307,169.26456,276.60788,-119.92467,1508.4005,7622.79296875
15,2021,2,-533.65393,0.0,0.0,526.99866,-17.49198,161.04837,250.05055,-164.89775,1738.5643,10717.5703125
16,2021,2,-8293.91,0.0,0.0,255.5952,-40.105804,163.97903,135.71236,-24.535427,1151.7842,1716.1904296875
17,2021,2,-5407.1963,0.0,0.0,351.2448,-56.526237,150.86002,181.38245,-91.18948,1333.9227,4902.5390625
18,2021,2,7455.218,0.0,0.0,747.6218,-12.316201,186.34352,310.94308,-275.51428,2297.45,19179.546875
19,2021,2,10475.183,0.0,0.0,868.96936,-69.241005,142.48763,664.388,-127.42189,2797.855,23165.75
20,2021,2,-2062.0725,0.0,0.0,426.55682,-57.28926,154.16017,231.806,-133.0646,1580.7191,8566.984375
21,2021,2,-6013.7495,0.0,0.0,327.2703,-56.919678,157.03032,180.18332,-83.39551,1328.6545,4334.2265625
22,2021,2,-2841.3977,0.0,0.0,467.18573,-53.38118,165.79106,269.88223,-122.83568,1542.156,8051.3828125
23,2021,2,-4266.787,0.0,0.0,421.107,-35.980503,170.33295,223.03487,-109.25542,1403.912,6372.7890625
24,2021,2,-1165.9286,0.0,0.0,409.64432,-56.477943,160.63704,269.01068,-113.90332,1542.9607,9491.734375
25,2021,2,29486.168,0.0,0.0,1117.4563,-271.15936,277.79987,631.5153,-680.47107,4802.2983,42976.21875
26,2021,2,-6001.6465,0.0,0.0,323.68613,-57.848137,155.97293,176.74298,-83.067375,1329.605,4318.32421875
27,2021,2,34713.06,0.0,0.0,837.4516,-240.43382,988.0138,834.6354,-270.90683,9312.387,54958.5
30,2021,2,-5986.428,0.0,0.0,337.3224,-54.70932,153.02101,178.26476,-82.32454,1309.7694,4182.59375
31,2021,2,-2309.5427,0.0,0.0,426.2549,-56.83741,148.44272,227.75595,-129.86795,1570.0038,8062.9296875
32,2021,2,-6530.1167,0.0,0.0,301.12546,-56.4032,151.6618,174.0121,-81.53267,1278.237,3574.076171875
33,2021,2,-1258.9695,0.0,0.0,456.6692,-21.422022,149.6994,225.79424,-159.5963,1642.6436,9309.7421875
34,2021,2,-7884.201,0.0,0.0,176.85109,-42.643288,138.32501,122.648026,-54.80433,1210.1204,2083.9765625
35,2021,2,-7300.6675,0.0,0.0,250.66917,-43.26729,133.56447,219.04288,-81.21864,1202.8774,3143.328125
36,2021,2,-5052.614,0.0,0.0,376.8824,-53.689354,153.83101,188.20383,-94.97747,1367.3984,5426.71484375
