SiteKey,Year,MonthNum,CampusKey,kWp,Number of panels,Panel,Inverter,lat,Lon,monthly_generation_kwh,nonnull_generation_intervals,air_temperature_mean_c,apparent_temperature_mean_c,dew_point_mean_c,relative_humidity_mean_pct,wind_speed_mean,generation_kwh_per_kwp,month_sin,month_cos
21,2020,10,1,39.27,119.0,Trina 330W,2 x SolarEdge SE17K,-37.71828652,145.0509752,4076.623046875,1344,14.285560789555856,12.283564378599932,9.680112157892328,76.80157021083782,10.456556751890982,103.81011069200406,-0.8660254037844386,0.5000000000000001
22,2020,10,1,72.27,219.0,Trina 330W,1 x SolarEdge SE82.8K,-37.71828652,145.0509752,7428.478515625,1384,14.285560789555856,12.283564378599932,9.680112157892328,76.80157021083782,10.456556751890982,102.78785824858171,-0.8660254037844386,0.5000000000000001
23,2020,10,1,58.9,190.0,Trina 310W,1 x SolarEdge SE50K,-37.71828652,145.0509752,5847.12109375,1358,14.285560789555856,12.283564378599932,9.680112157892328,76.80157021083782,10.456556751890982,99.27200498726656,-0.8660254037844386,0.5000000000000001
24,2020,10,1,40.26,122.0,Trina 330W,1 x SolarEdge SE82.8K,-37.71828652,145.0509752,8990.017578125,1393,14.285560789555856,12.283564378599932,9.680112157892328,76.80157021083782,10.456556751890982,223.29899597925981,-0.8660254037844386,0.5000000000000001
25,2020,10,1,384.12,1164.0,Trina 330W,4 x SolarEdge SE82.8K,-37.71828652,145.0509752,40609.7421875,1407,14.285560789555856,12.283564378599932,9.680112157892328,76.80157021083782,10.456556751890982,105.7214989781839,-0.8660254037844386,0.5000000000000001
26,2020,10,1,38.94,118.0,Trina 330W,1 x SolarEdge SE17K + 1 x SolarEdge SE15K,-37.71828652,145.0509752,4124.443359375,1361,14.285560789555856,12.283564378599932,9.680112157892328,76.80157021083782,10.456556751890982,105.91790856124808,-0.8660254037844386,0.5000000000000001
27,2020,10,1,539.8,1240.92,SunpowerSPR-E20-435-COM,5 X ABB,-37.71828652,145.0509752,50950.75,1422,14.285560789555856,12.283564378599932,9.680112157892328,76.80157021083782,10.456556751890982,94.38819933308633,-0.8660254037844386,0.5000000000000001
30,2020,10,1,42.16,136.0,Trina 310W,2 x SolarEdge SE17K,-37.71828652,145.0509752,3841.3134765625,1318,14.285560789555856,12.283564378599932,9.680112157892328,76.80157021083782,10.456556751890982,91.11274849531547,-0.8660254037844386,0.5000000000000001
31,2020,10,1,76.23,231.0,Trina 330W,2 x SolarEdge SE25K + 1 x SolarEdge SE15K,-37.71828652,145.0509752,7806.1015625,1383,14.285560789555856,12.283564378599932,9.680112157892328,76.80157021083782,10.456556751890982,102.40196199003017,-0.8660254037844386,0.5000000000000001
32,2020,10,1,35.64,108.0,Trina 330W,2 x SolarEdge SE15K,-37.71828652,145.0509752,3373.5546875,1348,14.285560789555856,12.283564378599932,9.680112157892328,76.80157021083782,10.456556751890982,94.65641659652076,-0.8660254037844386,0.5000000000000001
33,2020,10,1,87.78,266.0,Trina 330W,1 x SolarEdge SE82.8K,-37.71828652,145.0509752,8952.08984375,1369,14.285560789555856,12.283564378599932,9.680112157892328,76.80157021083782,10.456556751890982,101.98325180849852,-0.8660254037844386,0.5000000000000001
34,2020,10,1,21.39,69.0,Trina 310W,1 x SolarEdge SE17K,-37.71828652,145.0509752,2002.8408203125,1253,14.285560789555856,12.283564378599932,9.680112157892328,76.80157021083782,10.456556751890982,93.63444695243103,-0.8660254037844386,0.5000000000000001
35,2020,10,1,29.45,95.0,Trina 310W,1 x SolarEdge SE25K,-37.71828652,145.0509752,2816.9052734375,1285,14.285560789555856,12.283564378599932,9.680112157892328,76.80157021083782,10.456556751890982,95.65043373302207,-0.8660254037844386,0.5000000000000001
36,2020,10,1,49.83,151.0,Trina 330W,1 x SolarEdge SE27.6K + 1 x SolarEdge SE15K,-37.71828652,145.0509752,5135.1337890625,1381,14.285560789555856,12.283564378599932,9.680112157892328,76.80157021083782,10.456556751890982,103.0530561722356,-0.8660254037844386,0.5000000000000001
37,2020,10,1,51.15,155.0,Trina 330W,1 x SolarEdge SE25K + 1 x SolarEdge SE17K,-37.71828652,145.0509752,5122.3056640625,1399,14.285560789555856,12.283564378599932,9.680112157892328,76.80157021083782,10.456556751890982,100.14282823191594,-0.8660254037844386,0.5000000000000001
38,2020,10,1,56.76,172.0,Trina 330W,1 x SolarEdge SE50K,-37.71828652,145.0509752,5709.9189453125,1377,14.285560789555856,12.283564378599932,9.680112157892328,76.80157021083782,10.456556751890982,100.59758536491367,-0.8660254037844386,0.5000000000000001
39,2020,10,1,47.74,154.0,Trina 310W,1 x SolarEdge SE25K + 1 x SolarEdge SE15K,-37.71828652,145.0509752,3246.53125,1333,14.285560789555856,12.283564378599932,9.680112157892328,76.80157021083782,10.456556751890982,68.0044250104734,-0.8660254037844386,0.5000000000000001
40,2020,10,1,84.81,257.0,Trina 330W,1 x SolarEdge SE82.8K,-37.71828652,145.0509752,7771.228515625,1356,14.285560789555856,12.283564378599932,9.680112157892328,76.80157021083782,10.456556751890982,91.6310401559368,-0.8660254037844386,0.5000000000000001
14,2020,11,1,66.0,200.0,Trina 330W,2 x SolarEdge SE27.6K,-37.71828652,145.0509752,8272.033203125,1436,18.517696759296875,16.971877314795485,10.915030092634028,66.42456018511805,10.004532407381596,125.33383641098484,-0.5000000000000004,0.8660254037844384
15,2020,11,1,94.24,304.0,Trina 310W,1 x SolarEdge SE82.8K,-37.71828652,145.0509752,11484.9453125,1449,18.517696759296875,16.971877314795485,10.915030092634028,66.42456018511805,10.004532407381596,121.86911409698642,-0.5000000000000004,0.8660254037844384
17,2020,11,1,45.26,146.0,Trina 310W,1 x SolarEdge SE25K + 1 x SolarEdge SE15K,-37.71828652,145.0509752,5321.1328125,1398,18.517696759296875,16.971877314795485,10.915030092634028,66.42456018511805,10.004532407381596,117.56811340035352,-0.5000000000000004,0.8660254037844384
18,2020,11,1,167.97,509.0,Trina 330W,3 x SolarEdge SE50K,-37.71828652,145.0509752,20509.46875,1436,18.517696759296875,16.971877314795485,10.915030092634028,66.42456018511805,10.004532407381596,122.10197505506936,-0.5000000000000004,0.8660254037844384
19,2020,11,1,34.32,104.0,Trina 330W,1 x SolarEdge SE27.6K,-37.71828652,145.0509752,24716.8515625,1449,18.517696759296875,16.971877314795485,10.915030092634028,66.42456018511805,10.004532407381596,720.1879825903263,-0.5000000000000004,0.8660254037844384
